Qatar,QAT,2017,49.1826235
Trinidad and Tobago,TTO,2017,29.72496084
Kuwait,KWT,2017,25.23698426
United Arab Emirates,ARE,2017,24.65637052
Brunei,BRN,2017,23.85571308
Bahrain,BHR,2017,23.08459255
Saudi Arabia,SAU,2017,19.27885668
Australia,AUS,2017,16.89501744
United States,USA,2017,16.24094876
Kazakhstan,KAZ,2017,16.07231908
Luxembourg,LUX,2017,15.93043014
Canada,CAN,2017,15.63945701
Estonia,EST,2017,15.12582468
Palau,PLW,2017,14.10974872
Oman,OMN,2017,14.06011545
Turkmenistan,TKM,2017,12.6261789
South Korea,KOR,2017,12.08454209
Russia,RUS,2017,11.75635621
Taiwan,TWN,2017,11.49241475
Singapore,SGP,2017,11.3446919
Iceland,ISL,2017,10.38736554
